Slug,Name,URL,Category,Rating,Reviews,Installs,Developer,Description,Has Free Version,Icon URL,Last Updated,Scraped At
625c7515-1553-471e-bc66-788d0123c341,ReConvert Upsell & Cross Sell,https://www.wix.com/app-market/web-solution/625c7515-1553-471e-bc66-788d0123c341,eCommerce,4.3,84,,ReConvert14 day,Upsell & cross sell at checkout for a bigger AOV,true,https://static.wixstatic.com/media/29016c_1c84c4d9545e415b8143776c12b5b459~mv2.png/v1/fill/29016c_1c84c4d9545e415b8143776c12b5b459~mv2.png,,2025-07-06T20:56:57.337Z
ihomefinder-real-estate,iHomefinder Real Estate,https://www.wix.com/app-market/web-solution/ihomefinder-real-estate,Tools & Widgets,3.2,13,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",MLS IDX Search for your site,true,https://static.wixstatic.com/media/54590a_9108496ea43e45acbad3b7f32e73933d~mv2.png/v1/fill/54590a_9108496ea43e45acbad3b7f32e73933d~mv2.png,,2025-07-06T20:56:57.475Z
google-ads-shopping,Google Ads & Google Shopping,https://www.wix.com/app-market/web-solution/google-ads-shopping,Marketing,3.3,119,,StoreYa,We'll drive targeted visitors to your site!,true,https://static.wixstatic.com/media/327c76_d381c6622ac84fb99f9dc02c389467b1~mv2.png/v1/fill/327c76_d381c6622ac84fb99f9dc02c389467b1~mv2.png,,2025-07-06T20:56:57.542Z
klaviyo,Klaviyo,https://www.wix.com/app-market/web-solution/klaviyo,Marketing,4.3,11,,Klaviyo,"Email Marketing, SMS Marketing, Forms, & More",true,https://static.wixstatic.com/media/2293e6_da97e8ea3719441d97b3b47e4b2d7534~mv2.png/v1/fill/2293e6_da97e8ea3719441d97b3b47e4b2d7534~mv2.png,,2025-07-06T20:56:57.621Z
worry-free-delivery,Worry-Free Delivery,https://www.wix.com/app-market/web-solution/worry-free-delivery,Design & Content,4.6,9,,Seel Inc.,Protect orders against loss & damage,true,https://static.wixstatic.com/media/514fa6_cfe0f293ebc24c57b4d1773fc15469e2~mv2.png/v1/fill/514fa6_cfe0f293ebc24c57b4d1773fc15469e2~mv2.png,,2025-07-06T20:56:57.678Z
printful,Printful: Print on Demand,https://www.wix.com/app-market/web-solution/printful,eCommerce,4.6,1056,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Design & sell products that stand out,true,https://static.wixstatic.com/media/ead2e7_ef9720a99b3444e8970042928c085bdf~mv2.png/v1/fill/ead2e7_ef9720a99b3444e8970042928c085bdf~mv2.png,,2025-07-06T20:56:57.795Z
wix-stores,Wix Stores,https://www.wix.com/app-market/web-solution/wix-stores,eCommerce,4.2,4418,,Wix,Professional eCommerce platform to sell online,true,https://static.wixstatic.com/media/22e53e_a53027e61c334a428ee8fd64dd776792~mv2.png/v1/fill/22e53e_a53027e61c334a428ee8fd64dd776792~mv2.png,,2025-07-06T20:56:57.868Z
impressive-slideshow,Impressive Slideshow Gallery,https://www.wix.com/app-market/web-solution/impressive-slideshow,Design & Content,4.5,1371,,Light-Technologies,Build a dynamic slider: images & videos together,true,https://static.wixstatic.com/media/0372e6_10bbdecf09d14b9291d2f82c73d83cb6~mv2.png/v1/fill/0372e6_10bbdecf09d14b9291d2f82c73d83cb6~mv2.png,,2025-07-06T20:56:57.943Z
pay-button,Pay Button,https://www.wix.com/app-market/web-solution/pay-button,eCommerce,1.5,42,,Wix,Offer fast checkout for payments and donations,true,https://static.wixstatic.com/media/d2c887_93408c6974ed48c5a3536ce421323470~mv2.png/v1/fill/d2c887_93408c6974ed48c5a3536ce421323470~mv2.png,,2025-07-06T20:56:58.011Z
automated-booking-emails-sms,Omnisend Email Marketing & SMS,https://www.wix.com/app-market/web-solution/automated-booking-emails-sms,Marketing,4.3,135,,Omnisend,"Recover lost sales, grow and engage audience",true,https://static.wixstatic.com/media/7ee47d_92f689bbd9b04e1d8d59a3f7b023caf3~mv2.png/v1/fill/7ee47d_92f689bbd9b04e1d8d59a3f7b023caf3~mv2.png,,2025-07-06T20:56:58.094Z
wix-pro-gallery,Wix Pro Gallery,https://www.wix.com/app-market/web-solution/wix-pro-gallery,Design & Content,3.2,3731,,Wix,Showcase photos in the highest quality online,true,https://static.wixstatic.com/media/1aa858_f942d1d885264dc0b291774304cde5f3~mv2.png/v1/fill/1aa858_f942d1d885264dc0b291774304cde5f3~mv2.png,,2025-07-06T20:56:58.166Z
blog,Wix Blog,https://www.wix.com/app-market/web-solution/blog,Other,4.1,2406,,Wix,Share your expertise and grow your traffic,true,https://static.wixstatic.com/media/d40220_2bf768783ac74d6bb459941561a1af0e~mv2.png/v1/fill/d40220_2bf768783ac74d6bb459941561a1af0e~mv2.png,,2025-07-06T20:56:58.237Z
wix-chat,Wix Chat,https://www.wix.com/app-market/web-solution/wix-chat,Communication,3.9,3745,,Wix,Let your site’s visitors reach out 24/7,true,https://static.wixstatic.com/media/713b90_7841ba78e810446f8765776b69ee76e3~mv2.png/v1/fill/713b90_7841ba78e810446f8765776b69ee76e3~mv2.png,,2025-07-06T20:56:58.326Z
members-area,Wix Members Area,https://www.wix.com/app-market/web-solution/members-area,Design & Content,3.4,671,,Wix,Let members manage accounts and access content,true,https://static.wixstatic.com/media/20f1df_82d75684459b41f19f817df18a786a1a~mv2.png/v1/fill/20f1df_82d75684459b41f19f817df18a786a1a~mv2.png,,2025-07-06T20:56:58.496Z
comments,Comments,https://www.wix.com/app-market/web-solution/comments,Communication,4.4,1804,,CodeMagic LTD,"Comments, Reviews and Testimonials",true,https://static.wixstatic.com/media/ffb211_aafe29b263b04adc9e54cf3779edd14a~mv2.png/v1/fill/ffb211_aafe29b263b04adc9e54cf3779edd14a~mv2.png,,2025-07-06T20:56:58.627Z
social-media-icons,Social Media Icons,https://www.wix.com/app-market/web-solution/social-media-icons,Marketing,4.5,588,,POWR,Smart links to your socials,true,https://static.wixstatic.com/media/829a0c_3230a8281f2e455997d270202b60c442~mv2.png/v1/fill/829a0c_3230a8281f2e455997d270202b60c442~mv2.png,,2025-07-06T20:56:58.718Z
fera-product-reviews,Fera Reviews,https://www.wix.com/app-market/web-solution/fera-product-reviews,eCommerce,4.9,3843,,collecting your own reviews or importing reviews,Beautiful reviews for eCommerce,true,https://static.wixstatic.com/media/f235a2_94fe4d0a19ec4540bac6aa70d2973886~mv2.png/v1/fill/f235a2_94fe4d0a19ec4540bac6aa70d2973886~mv2.png,,2025-07-06T20:56:58.829Z
social-media-stream,Social Media Stream,https://www.wix.com/app-market/web-solution/social-media-stream,Marketing,4.1,1240,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",Show Instagram Facebook YouTube Pinterest Feed,true,https://static.wixstatic.com/media/570908_d5802804130a4e26b8ef6c2fa1c4c2c7~mv2_d_1200_1200_s_2.png/v1/fill/570908_d5802804130a4e26b8ef6c2fa1c4c2c7~mv2_d_1200_1200_s_2.png,,2025-07-06T20:56:58.919Z
twitter-feed,Social Media Feed,https://www.wix.com/app-market/web-solution/twitter-feed,Marketing,4.2,597,,POWR,Show Instagram Facebook YouTube and TikTok feeds,true,https://static.wixstatic.com/media/829a0c_5feb982d3473481cadce66588dee1acf~mv2.png/v1/fill/829a0c_5feb982d3473481cadce66588dee1acf~mv2.png,,2025-07-06T20:56:58.998Z
wix-faq,Wix FAQ,https://www.wix.com/app-market/web-solution/wix-faq,Other,2.7,1114,,Wix,Create collapsible FAQs for your site visitors,true,https://static.wixstatic.com/media/c7de12_11c491e911604bbbab9fad09ddc70b38~mv2.png/v1/fill/c7de12_11c491e911604bbbab9fad09ddc70b38~mv2.png,,2025-07-06T20:56:59.071Z
whatsapp-contact-us,WhatsApp Chat - Contact Us,https://www.wix.com/app-market/web-solution/whatsapp-contact-us,Communication,4.9,3364,,Smartarget,WhatsApp Chat: Your Customer Contact Solution,true,https://static.wixstatic.com/media/0d1dde_80b07a28778640d8b0f0c2c02114a21f~mv2.png/v1/fill/0d1dde_80b07a28778640d8b0f0c2c02114a21f~mv2.png,,2025-07-06T20:56:59.190Z
chaty-whatsapp-chat-buttons,WhatsApp & Chat Buttons: Chaty,https://www.wix.com/app-market/web-solution/chaty-whatsapp-chat-buttons,Communication,5,1330,,Poptin LTD,"WhatsApp Chat, Messenger, Telegram & 20+ Apps",true,https://static.wixstatic.com/media/edc457_73ee711e656843aa9e5439ff524aa153~mv2.png/v1/fill/edc457_73ee711e656843aa9e5439ff524aa153~mv2.png,,2025-07-06T20:56:59.257Z
wix-table-reservations,Wix Table Reservations,https://www.wix.com/app-market/web-solution/wix-table-reservations,Other,3.7,78,,Wix,Take reservations 24/7 directly from your site,true,https://static.wixstatic.com/media/02837e_8020cc809f1a46d2a374e58510bed888~mv2.png/v1/fill/02837e_8020cc809f1a46d2a374e58510bed888~mv2.png,,2025-07-06T20:56:59.328Z
dsers-aliexpress-dropshipping,Dropshipping AliExpress-DSers,https://www.wix.com/app-market/web-solution/dsers-aliexpress-dropshipping,eCommerce,4.9,451,,DSers,Find Supplier&Dropship bulk orders on AliExpress,true,https://static.wixstatic.com/media/af4329_2fdb527e446642619892d2f1d43c1371~mv2.png/v1/fill/af4329_2fdb527e446642619892d2f1d43c1371~mv2.png,,2025-07-06T20:56:59.403Z
shippo,Shippo - Scalable Shipping,https://www.wix.com/app-market/web-solution/shippo,eCommerce,3.9,412,,Shippo,Simplify Shipping and Save,true,https://static.wixstatic.com/media/5bcf6d_c7d33e307eef43918513e31a4517080a~mv2.png/v1/fill/5bcf6d_c7d33e307eef43918513e31a4517080a~mv2.png,in real-timeSave time: Quickly print labels,2025-07-06T20:56:59.488Z
bis-notifications,WhatsApp Marketing,https://www.wix.com/app-market/web-solution/bis-notifications,Communication,4.8,607,,iN2 LLC,$ 0.00 Tax for Message Send,true,https://static.wixstatic.com/media/b315ec_e37d0670110140dca7bf2996f175205e~mv2.jpg/v1/fill/b315ec_e37d0670110140dca7bf2996f175205e~mv2.jpg,,2025-07-06T20:56:59.565Z
shipstation,ShipStation,https://www.wix.com/app-market/web-solution/shipstation,eCommerce,3.6,100,,ShipStation30 day,Shipping Software that Delivers,true,https://static.wixstatic.com/media/f781e4_4cb5ee79082a41f4a2b44e93b6a4b4e8~mv2.png/v1/fill/f781e4_4cb5ee79082a41f4a2b44e93b6a4b4e8~mv2.png,,2025-07-06T20:56:59.694Z
wix-multilingual,Wix Multilingual,https://www.wix.com/app-market/web-solution/wix-multilingual,Other,3.3,313,,Wix,Translate your site and boost your traffic,true,https://static.wixstatic.com/media/e42c46_940f3a6cc57543bc89b30ea17792338d~mv2.png/v1/fill/e42c46_940f3a6cc57543bc89b30ea17792338d~mv2.png,,2025-07-06T20:56:59.762Z
contact-form,Contact Form by POWR,https://www.wix.com/app-market/web-solution/contact-form,Communication,4.6,729,,POWRBy POWR,Get more leads with a contact form,true,https://static.wixstatic.com/media/829a0c_19158c2b25844804a0b52aa5b0e96c36~mv2.png/v1/fill/829a0c_19158c2b25844804a0b52aa5b0e96c36~mv2.png,,2025-07-06T20:56:59.835Z
location-marketing-by-uberall,Get Found Today,https://www.wix.com/app-market/web-solution/location-marketing-by-uberall,Tools & Widgets,2.4,33,,Uberall,Jump to the top of search & boost local sales,true,https://static.wixstatic.com/media/b8da57_0eff2d664b854264a1efaa50773635fb~mv2.png/v1/fill/b8da57_0eff2d664b854264a1efaa50773635fb~mv2.png,,2025-07-06T20:56:59.904Z
live-chat,Live Chat,https://www.wix.com/app-market/web-solution/live-chat,Communication,3.9,74,,Text14 day,Live chat for online sales and customer help,true,https://static.wixstatic.com/media/1f9c5d_9bae7c65cd984409a61ae9416f61346f~mv2.png/v1/fill/1f9c5d_9bae7c65cd984409a61ae9416f61346f~mv2.png,,2025-07-06T20:57:00.208Z
reviews,Wix Reviews,https://www.wix.com/app-market/web-solution/reviews,Communication,3.2,45,,Wix,Simple & customizable reviews to boost sales,true,https://static.wixstatic.com/media/fbf433_3f65c82a42eb4491bdc935b08a415cfa~mv2.png/v1/fill/fbf433_3f65c82a42eb4491bdc935b08a415cfa~mv2.png,2001-04-03T22:00:00.000Z,2025-07-06T20:57:00.274Z
cart2cart-wix-migration,Cart2Cart: Wix Store Migration,https://www.wix.com/app-market/web-solution/cart2cart-wix-migration,eCommerce,3.9,73,,Cart2Cart,Move your store data to Wix in a few clicks,true,https://static.wixstatic.com/media/9067d0_6673f7941eb4435f807e5dadd339c399~mv2.png/v1/fill/9067d0_6673f7941eb4435f807e5dadd339c399~mv2.png,,2025-07-06T20:57:00.344Z
envia-shipping-solution,Envia Shipping Solution,https://www.wix.com/app-market/web-solution/envia-shipping-solution,eCommerce,4,226,,Envia,Shipping and logistics platform for ecommerce.,true,https://static.wixstatic.com/media/d2fc61_479fbd6ab0654ba580f88bba5444776b~mv2.png/v1/fill/d2fc61_479fbd6ab0654ba580f88bba5444776b~mv2.png,,2025-07-06T20:57:00.447Z
deepcrawl,Lumar for SEO,https://www.wix.com/app-market/web-solution/deepcrawl,Marketing,3.3,17,,Lumar,Stay on top of your website's technical SEO,true,https://static.wixstatic.com/media/dd25d1_cb4aa2fd3c2a401b9461dcaa8a8f18c5~mv2.png/v1/fill/dd25d1_cb4aa2fd3c2a401b9461dcaa8a8f18c5~mv2.png,during the next crawl. This is to ensure that you...Read MoreHelpful(0)Thank you for your feedbackKUKuusamo78/ May 25,2025-07-06T20:57:00.790Z
video-library,Wix Video,https://www.wix.com/app-market/web-solution/video-library,Design & Content,2.9,429,,Wix,Everything you need to showcase your videos,true,https://static.wixstatic.com/media/88e69c_0377e5c7b8a240dca7150786ef51d3c1~mv2.png/v1/fill/88e69c_0377e5c7b8a240dca7150786ef51d3c1~mv2.png,,2025-07-06T20:57:00.884Z
wix-groups,Wix Groups,https://www.wix.com/app-market/web-solution/wix-groups,Other,3.6,399,,Wix,Host and manage monetizable online communities,true,https://static.wixstatic.com/media/1aa858_ca4b55a2de25463a9f177d91000e8a9a~mv2.png/v1/fill/1aa858_ca4b55a2de25463a9f177d91000e8a9a~mv2.png,,2025-07-06T20:56:56.119Z
unlimited-spin-to-win,Unlimited spin to win,https://www.wix.com/app-market/web-solution/unlimited-spin-to-win,Other,4.8,57,,Peak Digital7 day,Ultra high converting coupon wheel,true,https://static.wixstatic.com/media/b65413_4787cc7eee50444da75161bae0c026ab~mv2.png/v1/fill/b65413_4787cc7eee50444da75161bae0c026ab~mv2.png,,2025-07-06T20:56:56.344Z
quizell-product-quiz,Quizell Product Quiz & Form,https://www.wix.com/app-market/web-solution/quizell-product-quiz,eCommerce,4.7,91,,Quizell,Product Quizzes & Forms to Grow E-commerce sales,true,https://static.wixstatic.com/media/feae19_7e2fd9a3914c4efb8c6caa4006c6ed2a~mv2.png/v1/fill/feae19_7e2fd9a3914c4efb8c6caa4006c6ed2a~mv2.png,,2025-07-06T20:56:56.420Z
connecteam,Connecteam,https://www.wix.com/app-market/web-solution/connecteam,Business Services,4.8,10,,Connecteam,Manage Your Employees From One App,true,https://static.wixstatic.com/media/380221_4b4de3e6828246cda23fb0c3d576c967~mv2.png/v1/fill/380221_4b4de3e6828246cda23fb0c3d576c967~mv2.png,,2025-07-06T20:56:56.500Z
spocket-dropshipping,Spocket - US & EU Dropshipping,https://www.wix.com/app-market/web-solution/spocket-dropshipping,eCommerce,3.9,127,,Spocket,Dropship from Verified US & EU suppliers,true,https://static.wixstatic.com/media/7d1187_58536b113cd34b6689af361daf4372f3~mv2.png/v1/fill/7d1187_58536b113cd34b6689af361daf4372f3~mv2.png,,2025-07-06T20:56:56.570Z
challenges,Wix Online Programs,https://www.wix.com/app-market/web-solution/challenges,Business Services,3.8,978,,Wix,Build and sell multi-step programs,true,https://static.wixstatic.com/media/bfb4fd_cf1cbfcd0698491c9868a882bb5aba97~mv2.png/v1/fill/bfb4fd_cf1cbfcd0698491c9868a882bb5aba97~mv2.png,,2025-07-06T20:56:56.633Z
tiktok,TikTok Ads,https://www.wix.com/app-market/web-solution/tiktok,Marketing,1.6,20,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",TikTok For Business,true,https://static.wixstatic.com/media/626892_af159c14a59b4481948bd09fb2b20147~mv2.jpg/v1/fill/626892_af159c14a59b4481948bd09fb2b20147~mv2.jpg,,2025-07-06T20:56:56.693Z
wix-ai-assistant-client,Wix AI Site Chat,https://www.wix.com/app-market/web-solution/wix-ai-assistant-client,Design & Content,3,102,,Wix,Give 24/7 AI support and sales advice,true,https://static.wixstatic.com/media/222cbd_84f4218e0dc143d2bd9c300e565e1181~mv2.png/v1/fill/222cbd_84f4218e0dc143d2bd9c300e565e1181~mv2.png,,2025-07-06T20:56:56.767Z
wix-music,Wix Music,https://www.wix.com/app-market/web-solution/wix-music,Business Services,3.5,304,,Wix,Stream & sell your audio with the Wix player,true,https://static.wixstatic.com/media/454bab_ac6f5b6b090c426098a6322b7d861e70~mv2.png/v1/fill/454bab_ac6f5b6b090c426098a6322b7d861e70~mv2.png,,2025-07-06T20:56:56.825Z
events,Wix Events & Tickets,https://www.wix.com/app-market/web-solution/events,Business Services,3.5,1214,,Wix,Event management platform for tickets & RSVPs,true,https://static.wixstatic.com/media/ea7119_e7517ae616f14a2b968349b0109275d2~mv2.png/v1/fill/ea7119_e7517ae616f14a2b968349b0109275d2~mv2.png,,2025-07-06T20:56:56.906Z
quickbooks-online,QuickBooks Connector,https://www.wix.com/app-market/web-solution/quickbooks-online,Business Services,4.7,1154,,Intuit Mailchimp,Integrate QuickBooks Online to your site,true,https://static.wixstatic.com/media/9955e5_5daaec99a1d0466d838d6e3a363b73fc~mv2.png/v1/fill/9955e5_5daaec99a1d0466d838d6e3a363b73fc~mv2.png,,2025-07-06T20:56:57.014Z
loyalty,Wix Loyalty Program,https://www.wix.com/app-market/web-solution/loyalty,Business Services,3.8,268,,Wix,Reward customers & increase retention,true,https://static.wixstatic.com/media/65ceb0_ec57cc992a4048c9b37473bdaf7fbd7b~mv2.png/v1/fill/65ceb0_ec57cc992a4048c9b37473bdaf7fbd7b~mv2.png,,2025-07-06T20:56:57.084Z
mo-discount-upseller-v1,Easy Volume Discount Upsells,https://www.wix.com/app-market/web-solution/mo-discount-upseller-v1,Other,4.9,40,,Multiorders Solutions,We'll grow your store's revenue and increase CR,true,https://static.wixstatic.com/media/2a25d3_a1cfc7f57e8f43c6a9f67dbb6a00f467~mv2.jpg/v1/fill/2a25d3_a1cfc7f57e8f43c6a9f67dbb6a00f467~mv2.jpg,,2025-07-06T20:56:57.192Z
bookings,Wix Bookings,https://www.wix.com/app-market/web-solution/bookings,Business Services,3.4,1801,,Wix,"Scheduling platform, calendar & online booking",true,https://static.wixstatic.com/media/35359a_13bd028132814c6f9cdffeaa07e9c134~mv2.png/v1/fill/35359a_13bd028132814c6f9cdffeaa07e9c134~mv2.png,- Track Your Performance: Get detailed analytics on your finances,2025-07-06T20:56:57.266Z
625c7515-1553-471e-bc66-788d0123c341,ReConvert Upsell & Cross Sell,https://www.wix.com/app-market/web-solution/625c7515-1553-471e-bc66-788d0123c341,eCommerce,4.3,84,,ReConvert14 day,Upsell & cross sell at checkout for a bigger AOV,true,https://static.wixstatic.com/media/29016c_1c84c4d9545e415b8143776c12b5b459~mv2.png/v1/fill/29016c_1c84c4d9545e415b8143776c12b5b459~mv2.png,,2025-07-06T20:56:57.337Z
ihomefinder-real-estate,iHomefinder Real Estate,https://www.wix.com/app-market/web-solution/ihomefinder-real-estate,Tools & Widgets,3.2,13,,"{{ company }}"",""apps.grid.cta.button"":""View App"",""apps.grid.cta.button.installed"":""Open App"",""solutionBox.solutionBottomActionBar.installedSolution"":""Installed"",""solutionBox.solutionBottomActionBar.BundleInstalled"":""Installed - Claim Upgrade"",""solutionBox.solutionBottomActionBar.BundleNotInstalled"":""",MLS IDX Search for your site,true,https://static.wixstatic.com/media/54590a_9108496ea43e45acbad3b7f32e73933d~mv2.png/v1/fill/54590a_9108496ea43e45acbad3b7f32e73933d~mv2.png,,2025-07-06T20:56:57.475Z
google-ads-shopping,Google Ads & Google Shopping,https://www.wix.com/app-market/web-solution/google-ads-shopping,Marketing,3.3,119,,StoreYa,We'll drive targeted visitors to your site!,true,https://static.wixstatic.com/media/327c76_d381c6622ac84fb99f9dc02c389467b1~mv2.png/v1/fill/327c76_d381c6622ac84fb99f9dc02c389467b1~mv2.png,,2025-07-06T20:56:57.542Z
klaviyo,Klaviyo,https://www.wix.com/app-market/web-solution/klaviyo,Marketing,4.3,11,,Klaviyo,"Email Marketing, SMS Marketing, Forms, & More",true,https://static.wixstatic.com/media/2293e6_da97e8ea3719441d97b3b47e4b2d7534~mv2.png/v1/fill/2293e6_da97e8ea3719441d97b3b47e4b2d7534~mv2.png,,2025-07-06T20:56:57.621Z
worry-free-delivery,Worry-Free Delivery,https://www.wix.com/app-market/web-solution/worry-free-delivery,Design & Content,4.6,9,,Seel Inc.,Protect orders against loss & damage,true,https://static.wixstatic.com/media/514fa6_cfe0f293ebc24c57b4d1773fc15469e2~mv2.png/v1/fill/514fa6_cfe0f293ebc24c57b4d1773fc15469e2~mv2.png,,2025-07-06T20:56:57.678Z
